Value/Key	4	8	16	32	64	128	256	512	1024
4	255450000	323180000	335050000	356660000	573140000	774060000	1160000000	1910000000	3450000000
8	251460000	322270000	335920000	354000000	568360000	768210000	1170000000	1910000000	3420000000
16	258570000	322850000	339030000	354830000	575750000	770790000	1160000000	1820000000	3430000000
32	260820000	321690000	337950000	358110000	573640000	769390000	1160000000	1920000000	3450000000
64	251320000	338370000	342520000	360040000	575110000	768470000	1150000000	1920000000	3250000000
128	253100000	328070000	340600000	362300000	591520000	777150000	1150000000	1920000000	3460000000
256	258690000	328620000	339520000	359300000	571930000	771550000	1110000000	1910000000	3430000000
512	257940000	330370000	349370000	363100000	575860000	774660000	1160000000	1920000000	3440000000
1024	261360000	336530000	345300000	370550000	584730000	772990000	1160000000	1920000000	3440000000
